,angulo1,lados1,angulo2,lados2,Difference,SE,t,df,p_bonferroni,p_holm
0,ankle,L-L,ankle,L-R,0.00266,0.00318,0.83586,483,1.000,1.000
1,ankle,L-L,ankle,R-L,0.00253,0.00318,0.79679,483,1.000,1.000
2,ankle,L-L,ankle,R-R,−6.06e−4,0.00318,−0.19061,483,1.000,1.000
3,ankle,L-L,hip_addu,L-L,−0.00149,0.00318,−0.46886,483,1.000,1.000
4,ankle,L-L,hip_addu,L-R,0.00357,0.00318,1.12378,483,1.000,1.000
5,ankle,L-L,hip_addu,R-L,0.00144,0.00318,0.45251,483,1.000,1.000
6,ankle,L-L,hip_addu,R-R,0.00366,0.00318,1.15295,483,1.000,1.000
7,ankle,L-L,hip_flex,L-L,−0.01210,0.00318,−3.80889,483,0.043,0.037
8,ankle,L-L,hip_flex,L-R,−0.01613,0.00318,−5.07648,483,0.0009,0.0009
9,ankle,L-L,hip_flex,R-L,−0.01045,0.00318,−3.28774,483,0.299,0.231
10,ankle,L-L,hip_flex,R-R,−0.00908,0.00318,−2.85941,483,1.000,0.912
11,ankle,L-L,hip_rot,L-L,0.00105,0.00318,0.33042,483,1.000,1.000
12,ankle,L-L,hip_rot,L-R,0.00175,0.00318,0.54958,483,1.000,1.000
13,ankle,L-L,hip_rot,R-L,0.00278,0.00318,0.87547,483,1.000,1.000
14,ankle,L-L,hip_rot,R-R,0.00138,0.00318,0.43317,483,1.000,1.000
15,ankle,L-L,knee,L-L,−4.87e−5,0.00318,−0.01534,483,1.000,1.000
16,ankle,L-L,knee,L-R,−0.00273,0.00318,−0.85868,483,1.000,1.000
17,ankle,L-L,knee,R-L,−0.00263,0.00318,−0.82743,483,1.000,1.000
18,ankle,L-L,knee,R-R,−9.36e−4,0.00318,−0.29459,483,1.000,1.000
19,ankle,L-L,subt,L-L,0.00155,0.00318,0.48813,483,1.000,1.000
20,ankle,L-L,subt,L-R,0.00182,0.00318,0.57424,483,1.000,1.000
21,ankle,L-L,subt,R-L,0.00258,0.00318,0.81057,483,1.000,1.000
22,ankle,L-L,subt,R-R,0.00139,0.00318,0.43758,483,1.000,1.000
23,ankle,L-R,ankle,R-L,−1.24e−4,0.00318,−0.03906,483,1.000,1.000
24,ankle,L-R,ankle,R-R,−0.00326,0.00318,−1.02647,483,1.000,1.000
25,ankle,L-R,hip_addu,L-R,9.15e−4,0.00318,0.28792,483,1.000,1.000
26,ankle,L-R,hip_addu,R-L,−0.00122,0.00318,−0.38335,483,1.000,1.000
27,ankle,L-R,hip_addu,R-R,0.00101,0.00318,0.31709,483,1.000,1.000
28,ankle,L-R,hip_flex,L-R,−0.01878,0.00318,−5.91233,483,0.0009,0.0009
29,ankle,L-R,hip_flex,R-L,−0.01310,0.00318,−4.12360,483,0.012,0.011
30,ankle,L-R,hip_flex,R-R,−0.01174,0.00318,−3.69527,483,0.068,0.055
31,ankle,L-R,hip_rot,L-R,−9.10e−4,0.00318,−0.28628,483,1.000,1.000
