,angulo1,lados1,angulo2,lados2,Difference,SE,t,df,p_bonferroni,p_holm
0,ankle,L-L,ankle,L-R,0.00238,0.00169,1.40639,483,1.000,1.000
1,ankle,L-L,ankle,R-L,0.00193,0.00169,1.13881,483,1.000,1.000
2,ankle,L-L,ankle,R-R,3.77e−4,0.00169,0.22316,483,1.000,1.000
3,ankle,L-L,hip_addu,L-L,0.00124,0.00169,0.73460,483,1.000,1.000
4,ankle,L-L,hip_addu,L-R,0.00213,0.00169,1.26132,483,1.000,1.000
5,ankle,L-L,hip_addu,R-L,0.00160,0.00169,0.94501,483,1.000,1.000
6,ankle,L-L,hip_addu,R-R,0.00236,0.00169,1.39648,483,1.000,1.000
7,ankle,L-L,hip_flex,L-L,−0.00633,0.00169,−3.74298,483,0.056,0.045
8,ankle,L-L,hip_flex,L-R,−0.00568,0.00169,−3.35891,483,0.233,0.179
9,ankle,L-L,hip_flex,R-L,−0.00906,0.00169,−5.35327,483,0.0009,0.0009
10,ankle,L-L,hip_flex,R-R,−0.00485,0.00169,−2.86785,483,1.000,0.884
11,ankle,L-L,hip_rot,L-L,3.13e−4,0.00169,0.18520,483,1.000,1.000
12,ankle,L-L,hip_rot,L-R,0.00146,0.00169,0.86111,483,1.000,1.000
13,ankle,L-L,hip_rot,R-L,0.00201,0.00169,1.18841,483,1.000,1.000
14,ankle,L-L,hip_rot,R-R,−3.74e−4,0.00169,−0.22129,483,1.000,1.000
15,ankle,L-L,knee,L-L,2.45e−4,0.00169,0.14462,483,1.000,1.000
16,ankle,L-L,knee,L-R,−0.00200,0.00169,−1.17980,483,1.000,1.000
17,ankle,L-L,knee,R-L,−0.00166,0.00169,−0.98194,483,1.000,1.000
18,ankle,L-L,knee,R-R,−1.28e−4,0.00169,−0.07582,483,1.000,1.000
19,ankle,L-L,subt,L-L,7.82e−4,0.00169,0.46208,483,1.000,1.000
20,ankle,L-L,subt,L-R,0.00118,0.00169,0.69837,483,1.000,1.000
21,ankle,L-L,subt,R-L,0.00211,0.00169,1.24475,483,1.000,1.000
22,ankle,L-L,subt,R-R,0.00156,0.00169,0.92372,483,1.000,1.000
23,ankle,L-R,ankle,R-L,−4.53e−4,0.00169,−0.26758,483,1.000,1.000
24,ankle,L-R,ankle,R-R,−0.00200,0.00169,−1.18324,483,1.000,1.000
25,ankle,L-R,hip_addu,L-R,−2.45e−4,0.00169,−0.14507,483,1.000,1.000
26,ankle,L-R,hip_addu,R-L,−7.80e−4,0.00169,−0.46138,483,1.000,1.000
27,ankle,L-R,hip_addu,R-R,−1.68e−5,0.00169,−0.00992,483,1.000,1.000
28,ankle,L-R,hip_flex,L-R,−0.00806,0.00169,−4.76530,483,0.0009,0.0009
29,ankle,L-R,hip_flex,R-L,−0.01143,0.00169,−6.75967,483,0.0009,0.0009
30,ankle,L-R,hip_flex,R-R,−0.00723,0.00169,−4.27424,483,0.006,0.006
31,ankle,L-R,hip_rot,L-R,−9.22e−4,0.00169,−0.54529,483,1.000,1.000
32,ankle,L-R,hip_rot,R-L,−3.69e−4,0.00169,−0.21798,483,1.000,1.000
33,ankle,L-R,hip_rot,R-R,−0.00275,0.00169,−1.62768,483,1.000,1.000
34,ankle,L-R,knee,L-R,−0.00437,0.00169,−2.58620,483,1.000,1.000
35,ankle,L-R,knee,R-L,−0.00404,0.00169,−2.38833,483,1.000,1.000
36,ankle,L-R,knee,R-R,−0.00251,0.00169,−1.48221,483,1.000,1.000
37,ankle,L-R,subt,L-R,−0.00120,0.00169,−0.70803,483,1.000,1.000
38,ankle,L-R,subt,R-L,−2.73e−4,0.00169,−0.16164,483,1.000,1.000
39,ankle,L-R,subt,R-R,−8.16e−4,0.00169,−0.48268,483,1.000,1.000
40,ankle,R-L,ankle,R-R,−0.00155,0.00169,−0.91566,483,1.000,1.000
41,ankle,R-L,hip_addu,R-L,−3.28e−4,0.00169,−0.19380,483,1.000,1.000
42,ankle,R-L,hip_addu,R-R,4.36e−4,0.00169,0.25766,483,1.000,1.000
43,ankle,R-L,hip_flex,R-L,−0.01098,0.00169,−6.49208,483,0.0009,0.0009
44,ankle,R-L,hip_flex,R-R,−0.00678,0.00169,−4.00666,483,0.020,0.016
45,ankle,R-L,hip_rot,R-L,8.39e−5,0.00169,0.04960,483,1.000,1.000
46,ankle,R-L,hip_rot,R-R,−0.00230,0.00169,−1.36010,483,1.000,1.000
47,ankle,R-L,knee,R-L,−0.00359,0.00169,−2.12075,483,1.000,1.000
48,ankle,R-L,knee,R-R,−0.00205,0.00169,−1.21463,483,1.000,1.000
49,ankle,R-L,subt,R-L,1.79e−4,0.00169,0.10594,483,1.000,1.000
50,ankle,R-L,subt,R-R,−3.64e−4,0.00169,−0.21510,483,1.000,1.000
51,ankle,R-R,hip_addu,R-R,0.00198,0.00169,1.17332,483,1.000,1.000
52,ankle,R-R,hip_flex,R-R,−0.00523,0.00169,−3.09101,483,0.582,0.439
53,ankle,R-R,hip_rot,R-R,−7.52e−4,0.00169,−0.44444,483,1.000,1.000
54,ankle,R-R,knee,R-R,−5.06e−4,0.00169,−0.29897,483,1.000,1.000
55,ankle,R-R,subt,R-R,0.00119,0.00169,0.70056,483,1.000,1.000
56,hip_addu,L-L,ankle,L-R,0.00114,0.00169,0.67179,483,1.000,1.000
57,hip_addu,L-L,ankle,R-L,6.84e−4,0.00169,0.40421,483,1.000,1.000
58,hip_addu,L-L,ankle,R-R,−8.65e−4,0.00169,−0.51145,483,1.000,1.000
59,hip_addu,L-L,hip_addu,L-R,8.91e−4,0.00169,0.52672,483,1.000,1.000
60,hip_addu,L-L,hip_addu,R-L,3.56e−4,0.00169,0.21041,483,1.000,1.000
61,hip_addu,L-L,hip_addu,R-R,0.00112,0.00169,0.66187,483,1.000,1.000
62,hip_addu,L-L,hip_flex,L-L,−0.00757,0.00169,−4.47758,483,0.003,0.002
63,hip_addu,L-L,hip_flex,L-R,−0.00692,0.00169,−4.09351,483,0.014,0.012
64,hip_addu,L-L,hip_flex,R-L,−0.01030,0.00169,−6.08787,483,0.0009,0.0009
65,hip_addu,L-L,hip_flex,R-R,−0.00609,0.00169,−3.60245,483,0.096,0.076
