,angulo1,lados1,angulo2,lados2,Difference,SE,t,df,p_bonferroni,p_holm
0,ankle,L-L,ankle,L-R,−0.04065,0.00664,−6.12534,483,0.0009,0.0009
1,ankle,L-L,ankle,R-L,−0.04356,0.00664,−6.56411,483,0.0009,0.0009
2,ankle,L-L,ankle,R-R,−0.00221,0.00664,−0.33273,483,1.000,1.000
3,ankle,L-L,hip_addu,L-L,0.00298,0.00664,0.44956,483,1.000,1.000
4,ankle,L-L,hip_addu,L-R,0.00293,0.00664,0.44154,483,1.000,1.000
5,ankle,L-L,hip_addu,R-L,−0.00508,0.00664,−0.76517,483,1.000,1.000
6,ankle,L-L,hip_addu,R-R,−0.00398,0.00664,−0.59980,483,1.000,1.000
7,ankle,L-L,hip_flex,L-L,−0.04657,0.00664,−7.01776,483,0.0009,0.0009
8,ankle,L-L,hip_flex,L-R,−0.07567,0.00664,−11.40212,483,0.0009,0.0009
9,ankle,L-L,hip_flex,R-L,−0.09973,0.00664,−15.02827,483,0.0009,0.0009
10,ankle,L-L,hip_flex,R-R,−0.05162,0.00664,−7.77856,483,0.0009,0.0009
11,ankle,L-L,hip_rot,L-L,−0.00323,0.00664,−0.48633,483,1.000,1.000
12,ankle,L-L,hip_rot,L-R,0.00775,0.00664,1.16712,483,1.000,1.000
13,ankle,L-L,hip_rot,R-L,0.00595,0.00664,0.89612,483,1.000,1.000
14,ankle,L-L,hip_rot,R-R,−0.00368,0.00664,−0.55481,483,1.000,1.000
15,ankle,L-L,knee,L-L,0.00541,0.00664,0.81485,483,1.000,1.000
16,ankle,L-L,knee,L-R,0.00315,0.00664,0.47499,483,1.000,1.000
17,ankle,L-L,knee,R-L,0.00294,0.00664,0.44347,483,1.000,1.000
18,ankle,L-L,knee,R-R,0.00359,0.00664,0.54090,483,1.000,1.000
19,ankle,L-L,subt,L-L,0.01121,0.00664,1.68941,483,1.000,1.000
20,ankle,L-L,subt,L-R,−2.03e−4,0.00664,−0.03059,483,1.000,1.000
21,ankle,L-L,subt,R-L,0.00369,0.00664,0.55556,483,1.000,1.000
22,ankle,L-L,subt,R-R,0.01150,0.00664,1.73226,483,1.000,1.000
23,ankle,L-R,ankle,R-L,−0.00291,0.00664,−0.43877,483,1.000,1.000
24,ankle,L-R,ankle,R-R,0.03844,0.00664,5.79261,483,0.0009,0.0009
25,ankle,L-R,hip_addu,L-R,0.04358,0.00664,6.56688,483,0.0009,0.0009
26,ankle,L-R,hip_addu,R-L,0.03557,0.00664,5.36017,483,0.0009,0.0009
27,ankle,L-R,hip_addu,R-R,0.03667,0.00664,5.52554,483,0.0009,0.0009
28,ankle,L-R,hip_flex,L-R,−0.03502,0.00664,−5.27678,483,0.0009,0.0009
29,ankle,L-R,hip_flex,R-L,−0.05908,0.00664,−8.90293,483,0.0009,0.0009
30,ankle,L-R,hip_flex,R-R,−0.01097,0.00664,−1.65322,483,1.000,1.000
31,ankle,L-R,hip_rot,L-R,0.04840,0.00664,7.29247,483,0.0009,0.0009
32,ankle,L-R,hip_rot,R-L,0.04660,0.00664,7.02146,483,0.0009,0.0009
33,ankle,L-R,hip_rot,R-R,0.03697,0.00664,5.57053,483,0.0009,0.0009
34,ankle,L-R,knee,L-R,0.04380,0.00664,6.60033,483,0.0009,0.0009
35,ankle,L-R,knee,R-L,0.04359,0.00664,6.56881,483,0.0009,0.0009
36,ankle,L-R,knee,R-R,0.04424,0.00664,6.66624,483,0.0009,0.0009
37,ankle,L-R,subt,L-R,0.04045,0.00664,6.09475,483,0.0009,0.0009
38,ankle,L-R,subt,R-L,0.04434,0.00664,6.68090,483,0.0009,0.0009
39,ankle,L-R,subt,R-R,0.05215,0.00664,7.85760,483,0.0009,0.0009
40,ankle,R-L,ankle,R-R,0.04135,0.00664,6.23138,483,0.0009,0.0009
41,ankle,R-L,hip_addu,R-L,0.03848,0.00664,5.79893,483,0.0009,0.0009
42,ankle,R-L,hip_addu,R-R,0.03958,0.00664,5.96431,483,0.0009,0.0009
43,ankle,R-L,hip_flex,R-L,−0.05617,0.00664,−8.46416,483,0.0009,0.0009
