,angulo1,lados1,angulo2,lados2,Difference,SE,t,df,p_bonferroni,p_holm
0,ankle,L-L,ankle,L-R,−0.12373,0.0139,−8.91294,483,0.0009,0.0009
1,ankle,L-L,ankle,R-L,−0.13511,0.0139,−9.73226,483,0.0009,0.0009
2,ankle,L-L,ankle,R-R,−7.17e−4,0.0139,−0.05166,483,1.000,1.000
3,ankle,L-L,hip-addu,L-L,−0.07933,0.0139,−5.71414,483,0.0009,0.0009
4,ankle,L-L,hip-addu,L-R,−0.05790,0.0139,−4.17083,483,0.010,0.004
5,ankle,L-L,hip-addu,R-L,−0.05343,0.0139,−3.84886,483,0.037,0.013
6,ankle,L-L,hip-addu,R-R,−0.08807,0.0139,−6.34381,483,0.0009,0.0009
7,ankle,L-L,hip-flex,L-L,−0.03697,0.0139,−2.66301,483,1.000,0.520
8,ankle,L-L,hip-flex,L-R,−0.06437,0.0139,−4.63711,483,0.001,0.0009
9,ankle,L-L,hip-flex,R-L,−0.07946,0.0139,−5.72387,483,0.0009,0.0009
10,ankle,L-L,hip-flex,R-R,−0.03362,0.0139,−2.42140,483,1.000,0.943
11,ankle,L-L,hip-rot,L-L,0.04412,0.0139,3.17836,483,0.435,0.120
12,ankle,L-L,hip-rot,L-R,0.05787,0.0139,4.16869,483,0.010,0.004
13,ankle,L-L,hip-rot,R-L,0.06789,0.0139,4.89069,483,0.0009,0.0009
14,ankle,L-L,hip-rot,R-R,0.05658,0.0139,4.07594,483,0.015,0.005
15,ankle,L-L,knee,L-L,−0.23473,0.0139,−16.90811,483,0.0009,0.0009
16,ankle,L-L,knee,L-R,0.00466,0.0139,0.33562,483,1.000,1.000
17,ankle,L-L,knee,R-L,0.00578,0.0139,0.41669,483,1.000,1.000
18,ankle,L-L,knee,R-R,−0.25510,0.0139,−18.37551,483,0.0009,0.0009
19,ankle,L-L,subt,L-L,0.05225,0.0139,3.76352,483,0.052,0.017
20,ankle,L-L,subt,L-R,0.05208,0.0139,3.75136,483,0.054,0.018
21,ankle,L-L,subt,R-L,0.06941,0.0139,5.00015,483,0.0009,0.0009
22,ankle,L-L,subt,R-R,0.03944,0.0139,2.84069,483,1.000,0.326
23,ankle,L-R,ankle,R-L,−0.01137,0.0139,−0.81932,483,1.000,1.000
24,ankle,L-R,ankle,R-R,0.12302,0.0139,8.86129,483,0.0009,0.0009
25,ankle,L-R,hip-addu,L-R,0.06583,0.0139,4.74211,483,0.0009,0.0009
26,ankle,L-R,hip-addu,R-L,0.07030,0.0139,5.06409,483,0.0009,0.0009
27,ankle,L-R,hip-addu,R-R,0.03567,0.0139,2.56913,483,1.000,0.661
28,ankle,L-R,hip-flex,L-R,0.05936,0.0139,4.27583,483,0.006,0.003
29,ankle,L-R,hip-flex,R-L,0.04427,0.0139,3.18908,483,0.420,0.117
30,ankle,L-R,hip-flex,R-R,0.09012,0.0139,6.49155,483,0.0009,0.0009
31,ankle,L-R,hip-rot,L-R,0.18161,0.0139,13.08163,483,0.0009,0.0009
32,ankle,L-R,hip-rot,R-L,0.19163,0.0139,13.80363,483,0.0009,0.0009
33,ankle,L-R,hip-rot,R-R,0.18032,0.0139,12.98888,483,0.0009,0.0009
34,ankle,L-R,knee,L-R,0.12839,0.0139,9.24857,483,0.0009,0.0009
35,ankle,L-R,knee,R-L,0.12952,0.0139,9.32963,483,0.0009,0.0009
36,ankle,L-R,knee,R-R,−0.13136,0.0139,−9.46257,483,0.0009,0.0009
37,ankle,L-R,subt,L-R,0.17581,0.0139,12.66430,483,0.0009,0.0009
38,ankle,L-R,subt,R-L,0.19315,0.0139,13.91310,483,0.0009,0.0009
39,ankle,L-R,subt,R-R,0.16317,0.0139,11.75363,483,0.0009,0.0009
40,ankle,R-L,ankle,R-R,0.13439,0.0139,9.68060,483,0.0009,0.0009
41,ankle,R-L,hip-addu,R-L,0.08168,0.0139,5.88340,483,0.0009,0.0009
42,ankle,R-L,hip-addu,R-R,0.04704,0.0139,3.38844,483,0.210,0.064
43,ankle,R-L,hip-flex,R-L,0.05565,0.0139,4.00839,483,0.020,0.007
44,ankle,R-L,hip-flex,R-R,0.10149,0.0139,7.31086,483,0.0009,0.0009
45,ankle,R-L,hip-rot,R-L,0.20300,0.0139,14.62295,483,0.0009,0.0009
46,ankle,R-L,hip-rot,R-R,0.19169,0.0139,13.80820,483,0.0009,0.0009
47,ankle,R-L,knee,R-L,0.14089,0.0139,10.14895,483,0.0009,0.0009
48,ankle,R-L,knee,R-R,−0.11999,0.0139,−8.64325,483,0.0009,0.0009
49,ankle,R-L,subt,R-L,0.20452,0.0139,14.73241,483,0.0009,0.0009
50,ankle,R-L,subt,R-R,0.17454,0.0139,12.57295,483,0.0009,0.0009
51,ankle,R-R,hip-addu,R-R,−0.08735,0.0139,−6.29216,483,0.0009,0.0009
52,ankle,R-R,hip-flex,R-R,−0.03290,0.0139,−2.36974,483,1.000,1.000
53,ankle,R-R,hip-rot,R-R,0.05730,0.0139,4.12760,483,0.012,0.004
54,ankle,R-R,knee,R-R,−0.25438,0.0139,−18.32385,483,0.0009,0.0009
55,ankle,R-R,subt,R-R,0.04015,0.0139,2.89235,483,1.000,0.284
56,hip-addu,L-L,ankle,L-R,−0.04441,0.0139,−3.19880,483,0.406,0.115
57,hip-addu,L-L,ankle,R-L,−0.05578,0.0139,−4.01811,483,0.019,0.007
58,hip-addu,L-L,ankle,R-R,0.07861,0.0139,5.66249,483,0.0009,0.0009
59,hip-addu,L-L,hip-addu,L-R,0.02143,0.0139,1.54331,483,1.000,1.000
60,hip-addu,L-L,hip-addu,R-L,0.02589,0.0139,1.86529,483,1.000,1.000
61,hip-addu,L-L,hip-addu,R-R,−0.00874,0.0139,−0.62967,483,1.000,1.000
62,hip-addu,L-L,hip-flex,L-L,0.04236,0.0139,3.05114,483,0.664,0.176
63,hip-addu,L-L,hip-flex,L-R,0.01495,0.0139,1.07703,483,1.000,1.000
64,hip-addu,L-L,hip-flex,R-L,−1.35e−4,0.0139,−0.00972,483,1.000,1.000
65,hip-addu,L-L,hip-flex,R-R,0.04571,0.0139,3.29275,483,0.294,0.085
66,hip-addu,L-L,hip-rot,L-L,0.12345,0.0139,8.89250,483,0.0009,0.0009
67,hip-addu,L-L,hip-rot,L-R,0.13720,0.0139,9.88283,483,0.0009,0.0009
68,hip-addu,L-L,hip-rot,R-L,0.14722,0.0139,10.60483,483,0.0009,0.0009
69,hip-addu,L-L,hip-rot,R-R,0.13591,0.0139,9.79009,483,0.0009,0.0009
70,hip-addu,L-L,knee,L-L,−0.15540,0.0139,−11.19397,483,0.0009,0.0009
71,hip-addu,L-L,knee,L-R,0.08399,0.0139,6.04977,483,0.0009,0.0009
72,hip-addu,L-L,knee,R-L,0.08511,0.0139,6.13083,483,0.0009,0.0009
73,hip-addu,L-L,knee,R-R,−0.17577,0.0139,−12.66136,483,0.0009,0.0009
74,hip-addu,L-L,subt,L-L,0.13157,0.0139,9.47766,483,0.0009,0.0009
75,hip-addu,L-L,subt,L-R,0.13140,0.0139,9.46550,483,0.0009,0.0009
76,hip-addu,L-L,subt,R-L,0.14874,0.0139,10.71430,483,0.0009,0.0009
77,hip-addu,L-L,subt,R-R,0.11876,0.0139,8.55484,483,0.0009,0.0009
78,hip-addu,L-R,ankle,R-L,−0.07721,0.0139,−5.56143,483,0.0009,0.0009
79,hip-addu,L-R,ankle,R-R,0.05718,0.0139,4.11917,483,0.012,0.005
80,hip-addu,L-R,hip-addu,R-L,0.00447,0.0139,0.32198,483,1.000,1.000
81,hip-addu,L-R,hip-addu,R-R,−0.03017,0.0139,−2.17298,483,1.000,1.000
82,hip-addu,L-R,hip-flex,L-R,−0.00647,0.0139,−0.46628,483,1.000,1.000
83,hip-addu,L-R,hip-flex,R-L,−0.02156,0.0139,−1.55303,483,1.000,1.000
84,hip-addu,L-R,hip-flex,R-R,0.02429,0.0139,1.74944,483,1.000,1.000
85,hip-addu,L-R,hip-rot,L-R,0.11577,0.0139,8.33952,483,0.0009,0.0009
86,hip-addu,L-R,hip-rot,R-L,0.12580,0.0139,9.06152,483,0.0009,0.0009
87,hip-addu,L-R,hip-rot,R-R,0.11449,0.0139,8.24677,483,0.0009,0.0009
88,hip-addu,L-R,knee,L-R,0.06256,0.0139,4.50645,483,0.002,0.0009
89,hip-addu,L-R,knee,R-L,0.06369,0.0139,4.58752,483,0.002,0.0009
90,hip-addu,L-R,knee,R-R,−0.19720,0.0139,−14.20468,483,0.0009,0.0009
91,hip-addu,L-R,subt,L-R,0.10998,0.0139,7.92219,483,0.0009,0.0009
