,angulo1,lados1,angulo2,lados2,Difference,SE,t,df,p_bonferroni,p_holm
0,ankle,L-L,ankle,L-R,−0.09402,0.0134,−7.029,483,0.0009,0.0009
1,ankle,L-L,ankle,R-L,−0.10835,0.0134,−8.101,483,0.0009,0.0009
2,ankle,L-L,ankle,R-R,−0.00321,0.0134,−0.240,483,1.000,1.000
3,ankle,L-L,hip_addu,L-L,−0.02408,0.0134,−1.800,483,1.000,1.000
4,ankle,L-L,hip_addu,L-R,0.00883,0.0134,0.660,483,1.000,1.000
5,ankle,L-L,hip_addu,R-L,0.00626,0.0134,0.468,483,1.000,1.000
6,ankle,L-L,hip_addu,R-R,−0.02227,0.0134,−1.665,483,1.000,1.000
7,ankle,L-L,hip_flex,L-L,−0.10247,0.0134,−7.661,483,0.0009,0.0009
8,ankle,L-L,hip_flex,L-R,−0.22800,0.0134,−17.046,483,0.0009,0.0009
9,ankle,L-L,hip_flex,R-L,−0.27016,0.0134,−20.197,483,0.0009,0.0009
10,ankle,L-L,hip_flex,R-R,−0.11166,0.0134,−8.348,483,0.0009,0.0009
11,ankle,L-L,hip_rot,L-L,−0.03945,0.0134,−2.949,483,0.922,0.367
12,ankle,L-L,hip_rot,L-R,−0.00868,0.0134,−0.649,483,1.000,1.000
13,ankle,L-L,hip_rot,R-L,0.00388,0.0134,0.290,483,1.000,1.000
14,ankle,L-L,hip_rot,R-R,−0.05744,0.0134,−4.295,483,0.006,0.003
15,ankle,L-L,knee,L-L,−0.40957,0.0134,−30.620,483,0.0009,0.0009
16,ankle,L-L,knee,L-R,−0.02700,0.0134,−2.018,483,1.000,1.000
17,ankle,L-L,knee,R-L,−0.04353,0.0134,−3.255,483,0.335,0.140
18,ankle,L-L,knee,R-R,−0.45326,0.0134,−33.886,483,0.0009,0.0009
19,ankle,L-L,subt,L-L,−0.00642,0.0134,−0.480,483,1.000,1.000
20,ankle,L-L,subt,L-R,−0.03069,0.0134,−2.295,483,1.000,1.000
21,ankle,L-L,subt,R-L,−0.01341,0.0134,−1.003,483,1.000,1.000
22,ankle,L-L,subt,R-R,−0.02918,0.0134,−2.181,483,1.000,1.000
23,ankle,L-R,ankle,R-L,−0.01433,0.0134,−1.071,483,1.000,1.000
24,ankle,L-R,ankle,R-R,0.09081,0.0134,6.790,483,0.0009,0.0009
25,ankle,L-R,hip_addu,L-R,0.10286,0.0134,7.690,483,0.0009,0.0009
26,ankle,L-R,hip_addu,R-L,0.10029,0.0134,7.498,483,0.0009,0.0009
27,ankle,L-R,hip_addu,R-R,0.07175,0.0134,5.364,483,0.0009,0.0009
28,ankle,L-R,hip_flex,L-R,−0.13397,0.0134,−10.016,483,0.0009,0.0009
29,ankle,L-R,hip_flex,R-L,−0.17613,0.0134,−13.168,483,0.0009,0.0009
30,ankle,L-R,hip_flex,R-R,−0.01763,0.0134,−1.318,483,1.000,1.000
31,ankle,L-R,hip_rot,L-R,0.08535,0.0134,6.381,483,0.0009,0.0009
32,ankle,L-R,hip_rot,R-L,0.09790,0.0134,7.319,483,0.0009,0.0009
33,ankle,L-R,hip_rot,R-R,0.03658,0.0134,2.735,483,1.000,0.686
34,ankle,L-R,knee,L-R,0.06703,0.0134,5.011,483,0.0009,0.0009
35,ankle,L-R,knee,R-L,0.05049,0.0134,3.775,483,0.050,0.022
36,ankle,L-R,knee,R-R,−0.35923,0.0134,−26.857,483,0.0009,0.0009
37,ankle,L-R,subt,L-R,0.06333,0.0134,4.735,483,0.0009,0.0009
38,ankle,L-R,subt,R-L,0.08061,0.0134,6.027,483,0.0009,0.0009
39,ankle,L-R,subt,R-R,0.06485,0.0134,4.848,483,0.0009,0.0009
40,ankle,R-L,ankle,R-R,0.10514,0.0134,7.861,483,0.0009,0.0009
41,ankle,R-L,hip_addu,R-L,0.11462,0.0134,8.569,483,0.0009,0.0009
42,ankle,R-L,hip_addu,R-R,0.08608,0.0134,6.435,483,0.0009,0.0009
43,ankle,R-L,hip_flex,R-L,−0.16180,0.0134,−12.097,483,0.0009,0.0009
44,ankle,R-L,hip_flex,R-R,−0.00331,0.0134,−0.247,483,1.000,1.000
45,ankle,R-L,hip_rot,R-L,0.11223,0.0134,8.390,483,0.0009,0.0009
46,ankle,R-L,hip_rot,R-R,0.05091,0.0134,3.806,483,0.044,0.020
47,ankle,R-L,knee,R-L,0.06482,0.0134,4.846,483,0.0009,0.0009
48,ankle,R-L,knee,R-R,−0.34490,0.0134,−25.786,483,0.0009,0.0009
49,ankle,R-L,subt,R-L,0.09494,0.0134,7.098,483,0.0009,0.0009
50,ankle,R-L,subt,R-R,0.07918,0.0134,5.919,483,0.0009,0.0009
51,ankle,R-R,hip_addu,R-R,−0.01906,0.0134,−1.425,483,1.000,1.000
52,ankle,R-R,hip_flex,R-R,−0.10845,0.0134,−8.108,483,0.0009,0.0009
53,ankle,R-R,hip_rot,R-R,−0.05423,0.0134,−4.055,483,0.016,0.008
54,ankle,R-R,knee,R-R,−0.45005,0.0134,−33.647,483,0.0009,0.0009
55,ankle,R-R,subt,R-R,−0.02597,0.0134,−1.941,483,1.000,1.000
56,hip_addu,L-L,ankle,L-R,−0.06994,0.0134,−5.229,483,0.0009,0.0009
57,hip_addu,L-L,ankle,R-L,−0.08427,0.0134,−6.300,483,0.0009,0.0009
58,hip_addu,L-L,ankle,R-R,0.02087,0.0134,1.560,483,1.000,1.000
59,hip_addu,L-L,hip_addu,L-R,0.03292,0.0134,2.461,483,1.000,1.000
60,hip_addu,L-L,hip_addu,R-L,0.03034,0.0134,2.269,483,1.000,1.000
61,hip_addu,L-L,hip_addu,R-R,0.00181,0.0134,0.135,483,1.000,1.000
62,hip_addu,L-L,hip_flex,L-L,−0.07839,0.0134,−5.861,483,0.0009,0.0009
63,hip_addu,L-L,hip_flex,L-R,−0.20392,0.0134,−15.245,483,0.0009,0.0009
64,hip_addu,L-L,hip_flex,R-L,−0.24607,0.0134,−18.397,483,0.0009,0.0009
65,hip_addu,L-L,hip_flex,R-R,−0.08758,0.0134,−6.547,483,0.0009,0.0009
66,hip_addu,L-L,hip_rot,L-L,−0.01537,0.0134,−1.149,483,1.000,1.000
67,hip_addu,L-L,hip_rot,L-R,0.01541,0.0134,1.152,483,1.000,1.000
68,hip_addu,L-L,hip_rot,R-L,0.02796,0.0134,2.090,483,1.000,1.000
69,hip_addu,L-L,hip_rot,R-R,−0.03336,0.0134,−2.494,483,1.000,1.000
70,hip_addu,L-L,knee,L-L,−0.38549,0.0134,−28.820,483,0.0009,0.0009
