,sujeto,lados,angulo,combinacion,mediana,ciclo
0,AB06_mine_excluded_nogc.mat,R-R,ankle,Rtoe-Rankle,0.12330532073974604,full
1,AB06_mine_excluded_nogc.mat,R-R,ankle,Rtoe-Rankle,0.00302457809448235,nods
2,AB06_mine_excluded_nogc.mat,R-R,ankle,Rtoe-Rankle,0.066845417022705,stance
3,AB06_mine_excluded_nogc.mat,R-R,ankle,Rtoe-Rankle,0.0351185798645019,swing
4,AB06_mine_excluded_nogc.mat,R-R,subt,Rtoe-Rsubt,0.16948938369750977,full
5,AB06_mine_excluded_nogc.mat,R-R,subt,Rtoe-Rsubt,0.0032277107238769,nods
6,AB06_mine_excluded_nogc.mat,R-R,subt,Rtoe-Rsubt,0.0080690383911132,stance
7,AB06_mine_excluded_nogc.mat,R-R,subt,Rtoe-Rsubt,0.1239509582519531,swing
8,AB06_mine_excluded_nogc.mat,R-R,knee,Rtoe-Rknee,0.3628115653991699,full
9,AB06_mine_excluded_nogc.mat,R-R,knee,Rtoe-Rknee,0.002171516418457,nods
10,AB06_mine_excluded_nogc.mat,R-R,knee,Rtoe-Rknee,0.0058531761169433,stance
11,AB06_mine_excluded_nogc.mat,R-R,knee,Rtoe-Rknee,0.5279555320739746,swing
12,AB06_mine_excluded_nogc.mat,R-R,hip_addu,Rtoe-Rhip_addu,0.32816076278686523,full
13,AB06_mine_excluded_nogc.mat,R-R,hip_addu,Rtoe-Rhip_addu,0.0003952980041503,nods
14,AB06_mine_excluded_nogc.mat,R-R,hip_addu,Rtoe-Rhip_addu,0.17105054855346674,stance
15,AB06_mine_excluded_nogc.mat,R-R,hip_addu,Rtoe-Rhip_addu,0.0302357673645019,swing
16,AB06_mine_excluded_nogc.mat,R-R,hip_flex,Rtoe-Rhip_flex,0.18207120895385737,full
17,AB06_mine_excluded_nogc.mat,R-R,hip_flex,Rtoe-Rhip_flex,0.01979207992553705,nods
18,AB06_mine_excluded_nogc.mat,R-R,hip_flex,Rtoe-Rhip_flex,0.1298842430114746,stance
